Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
Original,9179,4768,1819,2483,109
Original,9129 (50; 0.5%),4727 (41; 0.9%),1811 (8; 0.4%),2483 (0; 0.0%),108 (1; 0.9%)
Original,9143 (36; 0.4%),4737 (31; 0.7%),1815 (4; 0.2%),2483 (0; 0.0%),108 (1; 0.9%)
Original,9166 (13; 0.1%),4760 (8; 0.2%),1815 (4; 0.2%),2483 (0; 0.0%),108 (1; 0.9%)
Original,9154 (25; 0.3%),4748 (20; 0.4%),1815 (4; 0.2%),2483 (0; 0.0%),108 (1; 0.9%)
Original,9135 (44; 0.5%),4739 (29; 0.6%),1815 (4; 0.2%),2473 (10; 0.4%),108 (1; 0.9%)
Original,9114 (65; 0.7%),4728 (40; 0.8%),1815 (4; 0.2%),2463 (20; 0.8%),108 (1; 0.9%)
Original,9071 (108; 1.2%),4687 (81; 1.7%),1813 (6; 0.3%),2463 (20; 0.8%),108 (1; 0.9%)
Original,9060 (119; 1.3%),4676 (92; 1.9%),1813 (6; 0.3%),2463 (20; 0.8%),108 (1; 0.9%)
Original,9055 (124; 1.4%),4671 (97; 2.0%),1813 (6; 0.3%),2463 (20; 0.8%),108 (1; 0.9%)
Original,9033 (146; 1.6%),4654 (114; 2.4%),1813 (6; 0.3%),2458 (25; 1.0%),108 (1; 0.9%)
Original,9017 (162; 1.8%),4644 (124; 2.6%),1807 (12; 0.7%),2458 (25; 1.0%),108 (1; 0.9%)
Original,8972 (207; 2.3%),4601 (167; 3.5%),1805 (14; 0.8%),2458 (25; 1.0%),108 (1; 0.9%)
Original,8968 (211; 2.3%),4597 (171; 3.6%),1805 (14; 0.8%),2458 (25; 1.0%),108 (1; 0.9%)
Original,8955 (224; 2.4%),4585 (183; 3.8%),1804 (15; 0.8%),2458 (25; 1.0%),108 (1; 0.9%)
Original,8919 (260; 2.8%),4553 (215; 4.5%),1803 (16; 0.9%),2455 (28; 1.1%),108 (1; 0.9%)
Original,8908 (271; 3.0%),4542 (226; 4.7%),1803 (16; 0.9%),2455 (28; 1.1%),108 (1; 0.9%)
Original,8883 (296; 3.2%),4518 (250; 5.2%),1803 (16; 0.9%),2454 (29; 1.2%),108 (1; 0.9%)
Original,8862 (317; 3.5%),4497 (271; 5.7%),1803 (16; 0.9%),2454 (29; 1.2%),108 (1; 0.9%)
Original,8812 (367; 4.0%),4477 (291; 6.1%),1803 (16; 0.9%),2424 (59; 2.4%),108 (1; 0.9%)
Original,8782 (397; 4.3%),4448 (320; 6.7%),1803 (16; 0.9%),2423 (60; 2.4%),108 (1; 0.9%)
Original,8770 (409; 4.5%),4436 (332; 7.0%),1803 (16; 0.9%),2423 (60; 2.4%),108 (1; 0.9%)
Original,8759 (420; 4.6%),4425 (343; 7.2%),1803 (16; 0.9%),2423 (60; 2.4%),108 (1; 0.9%)
Original,8738 (441; 4.8%),4411 (357; 7.5%),1803 (16; 0.9%),2416 (67; 2.7%),108 (1; 0.9%)
Original,8720 (459; 5.0%),4393 (375; 7.9%),1803 (16; 0.9%),2416 (67; 2.7%),108 (1; 0.9%)
Original,8717 (462; 5.0%),4390 (378; 7.9%),1803 (16; 0.9%),2416 (67; 2.7%),108 (1; 0.9%)
Original,8708 (471; 5.1%),4381 (387; 8.1%),1803 (16; 0.9%),2416 (67; 2.7%),108 (1; 0.9%)
Original,8685 (494; 5.4%),4362 (406; 8.5%),1799 (20; 1.1%),2416 (67; 2.7%),108 (1; 0.9%)
Original,8671 (508; 5.5%),4348 (420; 8.8%),1799 (20; 1.1%),2416 (67; 2.7%),108 (1; 0.9%)
